dataset,budget,repeats,method,dimension,metric,reference_coverage_q10_mean,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_exact_recall_mean,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,coverage_radius_mean
styrene,21,20,scopemap_hd,2,euclidean,0.0964285714285714,0.0499999999999999,0.1465178571428566,0.964285714285714,0.0,0.6865628130343155,0.6637432670980392,0.7125138858457265,1.274308304066954
styrene,21,20,fps,2,euclidean,0.0571428571428571,0.0285714285714285,0.0928571428571428,0.5714285714285714,0.0,1.9512252343135776,1.7428783545960098,2.1619637541028256,1.818755235140279
styrene,21,20,kennard_stone,2,euclidean,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.7142857142857141,0.0,2.482453336414319,2.482453336414319,2.482453336414319,2.160376882986093
styrene,21,20,ward,2,euclidean,0.2142857142857142,0.2142857142857142,0.2142857142857142,2.1428571428571432,0.0,0.7867415151437902,0.7867415151437902,0.7867415151437902,1.0034117744409952
styrene,21,20,random,64,euclidean,0.2821428571428571,0.2,0.360803571428571,2.821428571428571,0.0,17.961143414930852,16.9246166145103,18.769641803744985,18.55945504086779
styrene,21,20,cvt,64,euclidean,0.6464285714285714,0.6035714285714285,0.6857142857142856,6.464285714285715,0.0,9.148640832439712,7.525020221452223,10.762152907424154,16.471383479553747
styrene,21,20,scopemap_hd,64,euclidean,0.5964285714285713,0.5464285714285714,0.6428571428571428,5.964285714285714,0.0,13.62708377122438,12.35571994443157,14.58281563644888,16.984181982467227
styrene,21,20,fps,64,euclidean,0.3428571428571429,0.2571428571428572,0.4357142857142856,3.4285714285714284,0.0,17.173967593710124,14.740437573195436,20.04850098041323,23.675806372391907
styrene,21,20,kennard_stone,64,euclidean,0.1428571428571428,0.1428571428571428,0.1428571428571428,1.4285714285714282,0.0,31.31748216348555,31.31748216348555,31.31748216348555,35.391513015047266
styrene,21,20,ward,64,euclidean,0.7142857142857142,0.7142857142857142,0.7142857142857142,7.1428571428571415,0.0,6.233210031632703,6.233210031632703,6.233210031632703,16.54299642535698
styrene,21,20,random,128,euclidean,0.4214285714285714,0.3785714285714285,0.4607142857142857,4.2142857142857135,0.0,21.98259316644559,21.517164885931688,22.476945003494357,24.530094986763977
styrene,21,20,cvt,128,euclidean,0.7750000000000001,0.7535714285714287,0.7964285714285715,7.75,0.0,12.505715641795936,10.704705645138988,14.306679385696452,21.884939087015727
styrene,21,20,scopemap_hd,128,euclidean,0.7607142857142859,0.7428571428571428,0.7785714285714287,7.607142857142858,0.0,14.5064859983465,13.190710439494715,15.42014947256742,22.292458318469635
styrene,21,20,fps,128,euclidean,0.5714285714285714,0.5035714285714286,0.6428571428571428,5.714285714285714,0.0,22.96310284758396,19.98592046495133,26.387682524702832,31.54501001259835
styrene,21,20,kennard_stone,128,euclidean,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.8571428571428563,0.0,37.36535324822641,37.36535324822641,37.36535324822641,43.40534842692004
styrene,21,20,ward,128,euclidean,0.7857142857142858,0.7857142857142858,0.7857142857142858,7.857142857142857,0.0,8.973820863179208,8.973820863179208,8.973820863179208,21.958494520391017
styrene,21,20,random,full,euclidean,0.5107142857142857,0.485625,0.5392857142857143,5.107142857142857,0.0,33.875170499722515,32.742618855725894,34.90622591693948,36.759999670544936
styrene,21,20,cvt,full,euclidean,0.6714285714285714,0.6571428571428571,0.6857142857142856,6.7142857142857135,0.0,22.87446931930709,21.2091519401386,24.37854088309455,33.148000902031136
styrene,21,20,scopemap_hd,full,euclidean,0.7071428571428571,0.6928571428571427,0.7214285714285713,7.071428571428571,0.0,22.04378578516564,20.985430248696517,22.84129134533401,33.59483180322363
styrene,21,20,fps,full,euclidean,0.6107142857142855,0.567767857142857,0.6571428571428573,6.107142857142856,0.0,36.11924614720344,33.94339925340249,38.388658544351486,44.86773224684892
styrene,21,20,kennard_stone,full,euclidean,0.7142857142857142,0.7142857142857142,0.7142857142857142,7.1428571428571415,0.0,45.86099693410587,45.86099693410587,45.86099693410587,53.65994904112968
styrene,21,20,ward,full,euclidean,0.7142857142857142,0.7142857142857142,0.7142857142857142,7.1428571428571415,0.0,18.800097169601845,18.800097169601845,18.800097169601845,33.01664258778404
styrene,21,20,random,tanimoto,tanimoto,0.0857142857142857,0.0571428571428571,0.1142857142857142,0.857142857142857,0.0,0.6361846406590214,0.6256214606992772,0.646238721873043,0.6201302177479469
styrene,21,20,cvt,tanimoto,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,1.4285714285714282,0.0,0.5356066145173587,0.5356066145173587,0.5356066145173587,0.588464143909332
styrene,21,20,scopemap_hd,tanimoto,tanimoto,0.2142857142857142,0.2142857142857142,0.2142857142857142,2.1428571428571432,0.0,0.4923514386428356,0.4923514386428356,0.4923514386428356,0.6181002248322155
styrene,21,20,fps,tanimoto,tanimoto,0.1642857142857142,0.1357142857142857,0.1892857142857143,1.6428571428571423,0.0,0.6161350535139947,0.611359774941753,0.6209514156141464,0.6506007280450685
styrene,21,20,kennard_stone,tanimoto,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,1.4285714285714282,0.0,0.6268025712203982,0.6268025712203982,0.6268025712203982,0.6507269815036067
styrene,21,20,ward,tanimoto,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,1.4285714285714282,0.0,0.5356066145173587,0.5356066145173587,0.5356066145173587,0.588464143909332
