analysis_type,dataset,method,dimension,budget,budget_spent,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean,compactness_score,pareto_metric_count
prospective_final,suzuki_miyaura,kennard_stone,2,120,120.0,0.0285560053981106,0.63125,0.0208333333333333,1.0,7.527194271519318e-10,-7.527194271519318e-10,5
prospective_final,suzuki_miyaura,ward,2,120,120.0,0.0189203778677462,1.0,0.0208333333333333,1.0,0.0,-0.0,5
prospective_final,suzuki_miyaura,repulsive_fps,2,120,120.0,0.0278407557354925,0.86875,0.0208333333333333,1.0,1.0467014835428291e-09,-1.0467014835428291e-09,5
prospective_final,suzuki_miyaura,random,16,120,120.0,0.0214304993252361,1.0,0.0213835534213685,1.0264105642256902,2.429773801008262,-2.429773801008262,5
prospective_final,suzuki_miyaura,cvt,16,120,120.0,0.0223886639676113,1.0,0.0220438175270108,1.0581032412965186,2.6856700714039685,-2.6856700714039685,5
prospective_final,suzuki_miyaura,weighted_itr_cvt,16,120,120.0,0.0175033738191632,1.0,0.023859543817527,1.1452581032412965,2.2796292490921086,-2.2796292490921086,5
prospective_final,suzuki_miyaura,fps,16,120,120.0,0.023940620782726,1.0,0.011359543817527,0.5452581032412965,2.70624542921615,-2.70624542921615,5
prospective_final,suzuki_miyaura,kennard_stone,16,120,120.0,0.0258839406207827,1.0,0.0082382953181272,0.395438175270108,3.192324674732369,-3.192324674732369,5
prospective_final,suzuki_miyaura,cvt,32,120,120.0,0.0227395411605937,1.0,0.0226237905520774,1.0859419464997155,5.093887802401194,-5.093887802401194,5
prospective_final,suzuki_miyaura,ward,32,120,120.0,0.0210931174089068,1.0,0.0246158224245873,1.1815594763801935,5.042989669623864,-5.042989669623864,5
prospective_final,suzuki_miyaura,uncertainty,32,120,120.0,0.0200269905533063,1.0,0.0252703471826977,1.2129766647694935,5.170250653308293,-5.170250653308293,5
prospective_final,suzuki_miyaura,uncertainty_diversity,32,120,120.0,0.0202564102564102,1.0,0.0223676721684689,1.0736482640865113,5.020247721932229,-5.020247721932229,5
static_boundary,aldol,fps,2,40,40.0,0.0768707482993197,0.7375,0.0032967032967032,0.0899175824175824,0.8389483748850856,-0.8389483748850856,5
static_boundary,aldol,kennard_stone,2,40,40.0,0.0816326530612244,0.75,0.0,0.0,0.854793707951735,-0.854793707951735,5
static_boundary,aldol,ward,2,40,40.0,0.0748299319727891,0.75,0.0146520146520146,0.3996336996336996,0.4395001943742204,-0.4395001943742204,5
static_boundary,aldol,cvt,64,40,40.0,0.0394557823129251,0.6,0.0329670329670329,0.8991758241758241,14.586072833237711,-14.586072833237711,5
static_boundary,aldol,weighted_itr_cvt,64,40,40.0,0.0401360544217687,0.4875,0.0681318681318681,1.8582967032967035,15.274963083996614,-15.274963083996614,5
static_boundary,aldol,fps,64,40,40.0,0.0952380952380952,1.0,0.0025641025641025,0.0699358974358974,21.870162681927685,-21.870162681927685,5
static_boundary,aldol,ward,64,40,40.0,0.0408163265306122,0.625,0.0256410256410256,0.6993589743589744,14.608840053729232,-14.608840053729232,5
static_boundary,aldol,cvt,128,40,40.0,0.0374149659863945,0.55,0.0413919413919413,1.1289652014652014,20.30237280749852,-20.30237280749852,5
static_boundary,aldol,weighted_itr_cvt,128,40,40.0,0.0346938775510204,0.5125,0.0732600732600732,1.9981684981684984,20.58036745085009,-20.58036745085009,5
static_boundary,aldol,ward,128,40,40.0,0.0408163265306122,0.75,0.0293040293040293,0.7992673992673993,20.34342414224624,-20.34342414224624,5
static_boundary,aldol,weighted_itr_cvt,full,40,40.0,0.0333333333333333,0.5,0.0956043956043956,2.6076098901098903,35.19665116746197,-35.19665116746197,5
static_boundary,aldol,ward,full,40,40.0,0.0476190476190476,0.625,0.0293040293040293,0.7992673992673993,35.20039456247706,-35.20039456247706,5
static_boundary,aldol,random,tanimoto,40,40.0,0.0312925170068027,0.3875,0.0364963503649635,0.9954379562043796,0.544203331076402,-0.544203331076402,5
static_boundary,aldol,cvt,tanimoto,40,40.0,0.0612244897959183,0.5,0.0328467153284671,0.8958941605839413,0.5449079494987177,-0.5449079494987177,5
static_boundary,aldol,weighted_itr_cvt,tanimoto,40,40.0,0.0544217687074829,0.5,0.0547445255474452,1.4931569343065694,0.5551446310853032,-0.5551446310853032,5
static_boundary,aldol,ward,tanimoto,40,40.0,0.0612244897959183,0.5,0.0328467153284671,0.8958941605839413,0.5449079494987177,-0.5449079494987177,5
static_boundary,cobalt_condition1,random,2,12,12.0,0.2085714285714285,0.525,0.1966666666666666,0.9833333333333334,2.3707929608848417,-2.3707929608848417,5
static_boundary,cobalt_condition1,kennard_stone,2,12,12.0,0.1714285714285714,1.0,0.0666666666666666,0.3333333333333333,1.0515986603189538,-1.0515986603189538,5
static_boundary,cobalt_condition1,random,8,12,12.0,0.2071428571428571,0.35,0.2233333333333333,1.1166666666666667,7.139740191981284,-7.139740191981284,5
static_boundary,cobalt_condition1,cvt,8,12,12.0,0.1914285714285714,1.0,0.0833333333333333,0.4166666666666666,4.361796647612854,-4.361796647612854,5
static_boundary,cobalt_condition1,weighted_itr_cvt,8,12,12.0,0.18,1.0,0.1233333333333333,0.6166666666666666,4.489974771846825,-4.489974771846825,5
static_boundary,cobalt_condition1,weighted_itr_cvt,16,12,12.0,0.1628571428571428,0.975,0.1466666666666666,0.7333333333333333,8.89826765190448,-8.89826765190448,5
static_boundary,cobalt_condition1,fps,16,12,12.0,0.2028571428571428,1.0,0.02,0.1,14.941560723814144,-14.941560723814144,5
static_boundary,cobalt_condition1,ward,16,12,12.0,0.2,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094,-8.482318345386094,5
